City Code,"City, State",Type of Alert,Other Codes,Address,Alert Description,Random Code,Date,Time of day
NYK," East Farmingdale, New York", Major Accident, 46.46, E/b S.state Pkwy & New Hwy, Fd O/s With An Mva W/ Ejection M/a 2 Ambs To Scene And 2 Helos For Transport, NYK076,2019-04-24, 13:57
ONT," Brampton, Ontario - Canada", 1 Alarm Fire, Tac 6, 21 Bunchgrass Pl.," Second floor of a 2-story house well involved, interior attack.", CAN026,2019-04-24, 13:54
OHI," Cleveland, Ohio", Perp Search/Chase,, W 17th St & Clayton Ave," CPD in foot pursuit after two males, req addtl units.", OHI001,2019-04-24, 13:52
OHI," Cleveland, Ohio", Armed Robbery,, 3704 Payne Ave," Male robbed store clerk at gunpoint, fled w/ cash.", OHI001,2019-04-24, 13:51
WDC," Washington, Washington DC", Technical Rescue,, 555 E Street SW," DCFEMS o/s injured worker on upper floor of hi-rise under construction, stokes basket ops", MAR137,2019-04-24, 13:49
FLA," West Palm Beach, Florida", Major Accident, 5A, 770 Northpoint Pkwy," R6 o/s auto vs pedestrian, trauma alert going by ground.", FLA125,2019-04-24, 13:46
FLA," Pompano Beach, Florida", Major Accident, BSOFR Tac 2, 1771 Ne 33rd St," Station 61 arrival, two car accident, one vehicle rolled over. Confirmed entrapment.", FLA005,2019-04-24, 13:35
MCH," Redford Twp, Michigan", Violent Crime, 82RTPD1, 13550 Telegraph Rd, PD o/s confirmed shots fired after a fight. No vics. Perp fled EB. Shell casings discovered., MCH048,2019-04-24, 13:30
FLA," Pembroke Pines, Florida", Trauma Alert, BSOFR Disp 9, 20351 Sheridan St," Station 79 arrival, patient fell in to a trench, rescued by civilians. CPR in progress.", FLA005,2019-04-24, 13:30
GEO," Portal, Georgia", Major Accident,, Metter Rd & Banks Dairy Rd, U/D: EMS confirming a fatal MVA, GEO073,2019-04-24, 13:28
FLA," Fort Lauderdale, Florida", Perp Search/Chase, D7, 700 NW 31 Ave, BSO setting a box for a burglary in progress to a house., FLA125,2019-04-24, 13:27
FLA," Fort Lauderdale, Florida", Bomb Threat, D7, 1800 S Federal Hwy, PD o/s bomb threat received at Four Points by Sheraton. FD staging., FLA125,2019-04-24, 13:25
NCA," Blowing Rock, North Carolina", Major Accident,, 300 Tweetsie Railroad Ln," MVA w/ major injuries, one PT in traumatic arrest. CPR in progress. Multiple PTs. M/A:Caldwell County", NCA019,2019-04-24, 13:22
VIR," Alexandria, Virginia", Hazmat, AFD 2D, I-395 S/B & Edsall Rd," E208 o/s dump truck w/ actively leaking diesel tank, appx 40 gallons spilled & continuing to leak M/A:Fairfax County", MAR160,2019-04-24, 13:21
MAR," Thurmont, Maryland", Brush Fire, 9 Charlie, Sabillasville Rd & Old Camp Airy Rd," U/D: Cmd req 2nd Brush Task Force, fire on mountain & wooded area i/a/o 15009 Sabillasville Rd", MAR137,2019-04-24, 13:20
ORE," Portland, Oregon", Hazmat,, 2011 NE 133rd Ave," Contractor struck a residential natural gas line, active leak, evac in progress.", ORE033,2019-04-24, 10:19
NHA," Weare, New Hampshire", Major Accident,, 1000 Concord Stage Rd," EMS reporting an MVC w/ serious injs, DHART enroute. M/A:Concord", NHA070,2019-04-24, 13:19
NYK," Jamesport, New York", 1 Alarm Fire,, 1636 Main Rd," FD reporting a working structure fire, unknown type of occupancy. Req M/A.", NYK204,2019-04-24, 13:18
NYK," Orchard Park, New York", 1 Alarm Fire, Orchard Park F1, 3340 N Benzing Rd, Newton Abbot 9 o/s RPT working fire with possible 2 people trapped 1 Patient with heavy burns, NYK172,2019-04-24, 13:18
NYC," Manhattan, New York", 3 Alarm Fire,, 6 East 32nd Street," Box 696:3rd alarm req (for relief crews), fire in multiple manholes. Prev explosion, 1 ConEd injury.", MAR137,2019-04-24, 13:13
MAR," Hollywood, Maryland", Major Accident, TAC1, Forest Landing Rd & Holly Tree Ln," Rescue Box 7-09: Squad 7 o/s MVC involving a motorcycle, now w/ traumatic injs. MSP TRP7 L/Z @ site.", MAR101,2019-04-24, 13:13
NYK," Geneso, New York", 1 Alarm Fire,, Reservoir Rd & Carmichael Ln," Smoke and fire showing from a barn, working fire.", NYK130,2019-04-24, 13:10
ILL," Elgin, Illinois", 1 Alarm Fire,, 37W507 Big Timber Rd, RDFD has a pole barn with an attic fire. Req box 2-13R to the box level. M/A:McHenry County, ILL062,2019-04-24, 12:09
